"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display","Numeric","Low","High","Comments"
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","GBR","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GBR","BTSX","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AFR","WB_HI","GNQ","MLE","46","46.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AFR","WB_HI","GNQ","MLE","49","49.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AFR","WB_HI","GNQ","MLE","54","54.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AFR","WB_HI","GNQ","FMLE","49","49.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AFR","WB_HI","GNQ","FMLE","52","52.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AFR","WB_HI","GNQ","FMLE","57","57.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AFR","WB_HI","GNQ","BTSX","48","48.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AFR","WB_HI","GNQ","BTSX","50","50.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AFR","WB_HI","GNQ","BTSX","55","55.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","GRC","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","GRC","MLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GRC","MLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","GRC","FMLE","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","GRC","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GRC","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","GRC","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","GRC","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","GRC","BTSX","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","HRV","MLE","69","69.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HRV","MLE","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","HRV","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","HRV","FMLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HRV","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","HRV","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","HRV","BTSX","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HRV","BTSX","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","HRV","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","HUN","MLE","65","65.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HUN","MLE","68","68.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","HUN","MLE","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","HUN","FMLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HUN","FMLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","HUN","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","HUN","BTSX","69","69.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","HUN","BTSX","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","HUN","BTSX","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","IRL","MLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","IRL","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","IRL","MLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","IRL","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","IRL","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","IRL","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","IRL","BTSX","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","IRL","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","IRL","BTSX","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","ISL","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","ISL","MLE","78","78.00000",,,
